timeStamp,styleid,name,rating,reviewCount,priceNow,priceWas,size,inventory
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,6.5,11
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,7,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,7.5,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,8,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,8.5,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,9,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,9.5,20+
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,10,12
2016-04-14T11:20:10.018,570166124,OLIVIA LEATHER PUMPS,4.7,27,143.00,NA,11,20+
2016-04-14T11:20:10.018,570134555,GOLD STUD WITH CRYSTALS FROM SWAROVSKI,5,2,27.50,NA,NA,20+
2016-04-14T11:20:10.018,570175134,JET STONE FABRIC TASSEL NECKLACE,NA,0,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570171918,DOUBLE HINGE CUFF WITH CRYSTALS FROM SWAROVSKI,5,1,44.00,NA,NA,20+
2016-04-14T11:20:10.018,570168156,WIDE STRETCH BRACELET,5,4,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570177568,SHELL CHAIN DROP OPEN COLLAR NECKLACE,NA,0,71.50,NA,NA,20+
2016-04-14T11:20:10.018,570172759,HOWLITE BEADED FRIENDSHIP BRACELET,NA,0,38.50,NA,NA,20+
2016-04-14T11:20:10.018,570175114,LAYERED SNAKE CHAIN NECKLACE,NA,0,66.00,NA,NA,20+
2016-04-14T11:20:10.018,570178641,CONVERTIBLE BEADED MULTI-ROW NECKLACE,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570172690,SHELL ACCENT STRETCH BRACELETS,5,3,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570172659,CIRCLE LEATHER COLLAR NECKLACE,5,3,66.00,NA,NA,20+
2016-04-14T11:20:10.018,570171518,SUEDE-TRIM SAFFIANO TEXTURED CLUTCH,NA,0,85.80,NA,NA,20+
2016-04-14T11:20:10.018,570166708,KNOTTED SLIDER NECKLACE,5,4,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570171499,STRAPPY WEDGE SANDALS,NA,0,137.50,NA,5,20+
2016-04-14T11:20:10.018,570171499,STRAPPY WEDGE SANDALS,NA,0,137.50,NA,5.5,16
2016-04-14T11:20:10.018,570171499,STRAPPY WEDGE SANDALS,NA,0,137.50,NA,6,20+
2016-04-14T11:20:10.018,570171499,STRAPPY WEDGE SANDALS,NA,0,137.50,NA,6.5,20+
2016-04-14T11:20:10.018,570171499,STRAPPY WEDGE SANDALS,NA,0,137.50,NA,7,20+
